username,payout,points,total_payout,total_points,total_wus
e1lorpc33xl6,4.82,148,92678.79,96253871,1493
u286n2i1wsdg,11.72,139322,188724.48,97591228,1302
r4g66fsz7cus,14.73,169888,65724.32,95035161,1858
839rzkryyyzf,56.57,467509,32337.93,94943967,661
alr74h1jiibg,30.91,1150595,10190.78,93998886,880
eeqf7s2ijf0k,41.07,490133,29569.2,93232081,1178
2wq7nogfdgpf,42.65,1208761,40904.96,92936761,1480
l6jpm5qlfvb7,67.98,704913,18182.74,94585600,641
u14ojgdy8sh0,21.42,63204,13984.13,94844412,1060
j9fwz0jkk8ta,117.64,2530574,5794.86,92617604,421
5z23f0zbdohp,20.44,199514,12947.9,92378949,820
ldxpsmue9dv2,77.87,970380,21059.48,93121826,668
6u1lt71y0fxv,38.1,966809,100365.33,94030536,7901
num07muwoeei,9.26,54191,78288.68,93882536,1596
a39tksrkqii6,103.87,1926770,13486.9,88655814,466
wn8putwhue0c,29.25,102225,20392.07,89064605,1011
yw778gixlx0w,13.38,98083,83636.56,88083762,1085
vkr9k4cbmwaw,89.31,1350520,13491.92,89067868,761
1n0n9n6933yv,8.34,54400,179753.94,90507126,2274
n94sua5v34cv,15.8,125414,134859.38,90552337,1233
qyt3v57heos6,52.26,395538,14684.95,90991577,710
njk3muybdwdq,13.9,160154,102393.38,88988787,863
pccf50tmpmcc,37.51,979060,10784.57,88094671,832
ark6j61fn8fy,17.05,116597,125532.46,87576729,5770
vx78bwtrjlvx,29.02,870485,11830.8,86647696,881
zzmxnychvwgx,69.1,732387,99724.5,86717334,950
slvphz84uh1j,77.71,965735,12982.21,86867725,552
6evvsoz5mvvn,36.85,628512,12014.34,86518401,1351
afnwjfildlvh,39.23,900476,12027.76,87062957,646
lp3au8l12mgr,71.77,800171,14263.1,87219434,1040
oh3zbpvhom5a,26.91,89811,36185.5,86990579,2453
5i3jt0lk9lr6,32.91,125288,95388.17,87536699,1191
3rcp6xk7ikuo,53.95,422071,21878.98,85535614,886
yoykwycnzdbp,54.68,433421,43313.28,86514381,947
l0lobwaoqqpc,103.18,1897670,5208.2,82913314,414
pwo0y2skxr8x,32.82,308230,36325.45,83539939,8255
qzcsyqhf6gz8,59.96,530715,16373.4,85525845,861
9c0gcup67w03,28.64,139765,138139.4,84138358,759
azwix5he20ov,27.11,393530,20092.51,85105385,1304
h8tyk6rd08dx,85.85,1228030,13494.17,84506058,567
0gv6o6a6moeo,48.83,344015,89665.14,84346324,867
4iux8adti59o,26.99,1017024,11447.88,83143841,827
7iflwlshuja0,35.54,166760,81450.45,83611509,2148
3l6lciyzjmwo,184.85,2436490,75711.63,83104468,9525
l2rxwv8jd67y,29.56,651147,13772.96,81605735,691
t30esgj0v9xu,42.52,1091833,14247.41,82349055,570
nzlhgsemox1q,22.26,242296,22056.3,82215116,461
32itgy58brlc,55.9,455650,22185.11,81448262,808
6fq3724ybrj7,28.11,350617,30334.51,82220911,1172
nqxh5j9o4aph,24.29,248481,78685.41,83097885,1693
kclfbvmrgrnu,27.2,514145,110747.0,82134691,1149
o7t981s3z94n,62.91,589361,14263.16,81056076,1144
zs704nargz31,81.97,1098540,11058.66,81422892,1076
lkljhuvgtr00,33.5,129182,85172.2,81755075,1541
4wh3iitcparh,31.51,386079,4608.61,79740681,417
ds0havc8943n,54.27,426985,22950.34,81173449,767
gb74q6yb3n3a,50.15,362063,37019.46,81013222,1074
1iwgs7p1hmt5,62.35,578338,14066.1,79432522,631
bmy6yuj6409x,4.49,21857,86409.87,80825507,3192
3qqz0d8ii6h2,16.29,101400,20517.94,79511082,646
gfm11dfzqar2,68.4,715262,14441.75,79451544,2245
qc9mqkygc1qw,29.25,374662,136277.49,79593483,3824
w52lixkxbokw,39.96,247287,68464.07,80775512,1674
9u9q6vv1bbwl,17.11,204187,101079.44,80614555,5011
53gjzve1j25r,78.68,995417,14169.27,79313338,575
kf29lj0f5sbz,67.0,681003,12262.98,76601296,728
