username,payout,points,total_payout,total_points,total_wus,date_joined
dbcoxz3pe5cy,41.6,338038,1576.23,11577038,152,2021-06-27T15:00:53.773Z
dasz1b06lv15,44.75,400233,5059.57,72834914,353,2021-05-09T03:49:37.672Z
dbcxbxro2byk,14.18,21163,572.03,1464393,82,2021-01-15T09:16:33.39Z
dalmn65nud06,55.95,255247,2217.06,14808793,221,2021-06-07T15:05:53.723Z
dagxhmr6lwmz,29.09,162724,229.04,1092928,35,2021-07-13T01:18:58.575Z
db782epz8nef,29.42,166172,15527.81,40629524,499,2021-02-17T05:24:24.241Z
db5y9x15bm5s,44.95,404551,6354.19,56387326,373,2021-05-08T15:22:33.634Z
danollvt2jf2,9.52,8181,596.51,2305012,67,2021-05-31T15:25:15.827Z
dbi2c0lxjrkk,65.52,249557,58308.48,72734886,1636,2019-04-14T04:41:25.301Z
dba8w659aq40,28.51,209100,4990.99,27469523,126,2021-04-17T07:40:16.839Z
dagpdwo0hg2j,62.2,361333,1981.32,13175786,180,2021-06-11T09:14:46.364Z
d9rkwlsp0zc9,74.04,758234,1638.36,15207936,146,2021-06-05T16:15:31.442Z
d9r0g7usgjx2,42.59,355866,1373.67,10001947,139,2021-06-27T02:12:36.256Z
d8q71q9k9e7l,9.74,14862,487.74,533776,60,2021-05-11T23:09:33.551Z
d9r59mxu22mm,57.52,860082,15938.45,281684004,2488,2021-04-12T17:53:15.302Z
d9qq37ju05p4,12.58,23623,3919.61,7296143,430,2021-03-11T13:19:51.101Z
d9n6g322ooe1,38.02,277383,9333.39,49517802,214,2021-03-20T00:58:27.518Z
d9l3povt01rn,35.43,238367,1321.88,9514956,115,2021-06-28T10:27:39.72Z
d9e6fqoptzlx,12.58,42902,4545.25,9755818,494,2021-03-03T16:07:09.712Z
da797u6ye67g,57.96,334433,17028.18,96916804,742,2021-03-11T13:42:17.344Z
d8ak4kela1hg,23.11,176690,1605.0,11064636,57,2021-06-11T23:05:32.658Z
d79i6186vzfj,41.41,334651,1760.36,12503635,163,2021-06-22T09:58:07.169Z
d7b02dww6g00,9.97,16637,737.58,1668539,123,2021-06-03T09:25:38.361Z
d8pthfq0iwb3,51.47,565695,1759.12,12768760,184,2021-06-23T14:53:14.61Z
d6s8onmswws2,9.62,6510,38.54,19620,6,2021-07-14T02:03:50.305Z
d75vnxpoqrkj,16.09,158924,13269.7,66123534,1214,2021-02-25T12:50:47.706Z
d78ihb7pmfwe,57.73,770100,6378.34,69986845,615,2021-05-17T04:24:50.674Z
d7vqfd68fyy6,58.25,790936,12933.59,150686776,1422,2021-04-19T16:18:25.237Z
d6dgywd0uy4n,20.54,45835,2680.64,5588852,421,2021-03-19T02:22:29.465Z
d55zhmymbw8p,36.4,252641,1660.15,12175448,161,2021-06-27T14:54:01.143Z
d52jwcu8bcfj,9.62,3600,462.43,545903,88,2021-05-13T03:15:47.321Z
d2o1b177z40r,20.71,163524,1497.67,9925182,57,2021-06-11T23:06:00.451Z
d3kceysaecgm,10.67,34591,206.02,450780,44,2021-06-15T10:12:43.954Z
d2s91jcn1082,38.72,175070,636.72,3153591,34,2021-07-03T10:07:42.891Z
d3d2jfujdlcv,40.12,311412,1816.1,13015864,184,2021-06-22T09:59:42.728Z
d2ghw67olhso,43.57,375645,2448.09,9694725,267,2021-05-05T13:28:09.670Z
d22pzmgxokb9,54.17,283419,5068.21,30160947,660,2021-05-04T18:18:08.179Z
d4izch9ntiqy,9.57,6946,862.45,1877026,108,2021-05-07T22:55:30.70Z
d3dk3i6cmhy8,49.55,512582,7957.6,62106042,866,2021-04-21T13:51:21.268Z
d4zj38n9y7sz,47.87,471137,3763.1,30004217,109,2021-05-10T05:48:38.719Z
d06j6wq42hhk,49.0,229641,3108.57,20455202,277,2021-06-04T02:40:53.156Z
d142mx25z26u,36.36,251986,1431.8,10371779,139,2021-06-27T07:29:19.21Z
d02vk9pimqar,9.95,13308,449.73,467669,70,2021-06-05T16:32:59.22Z
d1rb5vrqpweq,14.63,6510,862.76,3164272,98,2021-05-17T11:50:03.298Z
d0fgjotxpajn,43.78,379910,3101.93,17411158,95,2021-05-07T08:35:31.295Z
d04ijbdywtp7,61.47,1041410,8073.43,94556591,681,2021-05-07T07:28:06.246Z
d0ei66mw9hvr,12.35,7781,2924.1,12854022,231,2021-05-06T23:12:59.531Z
d10v0s9q6fng,16.76,45165,9420.3,15536020,1019,2021-02-14T23:24:04.441Z
czwmry0oicz0,9.96,6119,907.21,1539114,122,2021-04-24T16:45:16.926Z
czssgabru88v,77.17,799557,2808.54,24348324,254,2021-05-25T07:53:07.443Z
czl7emoyipvj,15.07,6400,1203.05,3061019,298,2021-05-08T11:56:56.979Z
cz8ouc7i9j77,9.62,6510,29.26,14850,5,2021-07-14T02:05:08.547Z
cz60c3nsnxg6,45.11,222236,3140.87,21027295,276,2021-06-04T02:41:31.112Z
cyp5376ey290,9.6,5693,541.63,442497,86,2021-02-17T08:31:57.293Z
cygo7fll4ien,49.39,507733,6223.17,36207408,157,2021-04-04T05:27:04.886Z
cyc7r4kput5f,30.14,173898,2327.57,10153526,119,2021-05-11T21:38:09.460Z
czk2b0vltfrl,29.75,79131,2386.97,8161499,301,2021-05-11T08:47:52.804Z
cyk4zbtfekdt,14.99,4040,5720.44,17789133,666,2021-03-11T23:04:18.336Z
cydv969wyzvy,52.23,406120,6509.6,61014323,450,2021-05-11T17:02:52.336Z
cyqf203tmhk6,9.92,6095,5783.84,45482816,665,2021-05-10T14:26:44.632Z
cy3sw58cj450,32.32,264728,486.18,2229673,30,2021-05-25T14:04:00.523Z
cxnkvfw72rsc,13.51,18597,439.65,583910,64,2021-05-18T22:40:53.719Z
cxl5pcam1a95,53.17,244690,3139.67,21490154,268,2021-06-04T02:37:56.63Z
cxgmjv6oqnbi,9.83,22235,614.46,1342820,82,2021-06-12T04:42:42.171Z
cxq8jkuoewm3,20.19,86952,4105.01,14318310,495,2021-04-17T22:21:19.455Z
cxnhcn6nfyi4,32.65,202655,3923.01,24092001,221,2021-05-06T21:51:45.987Z
cxfj17gfw075,48.04,475077,1866.24,13431304,177,2021-06-22T09:57:23.131Z
cxq1131rf77f,11.72,22521,10849.48,13104301,6473,2021-02-05T17:32:33.922Z
cxogbc4lbnxw,19.49,82059,2549.63,9035507,302,2021-03-05T08:51:33.689Z
cx3mlgswaoyi,9.62,9248,937.45,1629845,1869,2021-06-06T22:59:56.868Z
cx1kxx8lqs3t,13.63,47481,1952.34,9007204,285,2021-05-31T09:41:09.137Z
cwqgecb30wb8,9.9,8368,144.07,324563,21,2021-05-17T23:07:40.567Z
cw4u21hjnxyu,12.83,6676,368.23,278403,40,2021-06-17T02:47:34.21Z
cwh0gchqeqvj,65.0,486385,20228.03,96141310,1317,2021-02-19T09:06:37.466Z
cw2y2r2r5rw7,9.85,4820,1072.57,995840,137,2021-02-20T06:50:57.396Z
cwrhse5kmdo5,4.96,12734,5554.18,37868493,903,2021-02-24T22:04:49.178Z
cvrybttowlce,9.91,17771,398.66,468254,47,2021-05-20T18:13:13.967Z
cwxenje15ua1,9.6,10298,1533.96,3379193,261,2021-04-27T16:16:57.435Z
cvvhlyez9ls7,28.12,369143,818.8,6942550,40,2021-07-02T17:46:25.381Z
cwl2run69z5z,25.95,132251,2560.95,6119856,279,2021-03-04T13:54:04.288Z
cuxf7jgp8sd9,67.25,395865,3202.32,21380344,285,2021-06-02T01:45:21.437Z
cu02mcghxjfe,62.22,400510,3353.62,23421035,285,2021-06-02T01:20:34.954Z
cvqd981qijcg,54.27,650667,2379.23,15875175,70,2021-05-29T06:23:09.997Z
ctqmbhkab3rv,41.07,328600,1468.51,10360107,137,2021-06-28T10:25:51.880Z
cvcvikbpgwkt,32.88,205614,13694.18,57124342,578,2021-03-08T02:20:42.276Z
ct2rpk5r7jam,45.53,416668,1630.41,11853374,158,2021-06-27T07:29:08.315Z
ctralk0vq5j4,50.25,531996,6011.85,55687616,363,2021-05-18T14:08:40.592Z
ctrxagac93by,9.64,29205,23580.35,25294813,1522,2019-05-23T07:33:52.769Z
ctvd2vp241g1,9.85,3331,2843.51,12925649,433,2021-04-24T21:56:52.876Z
ctah37gf7i5x,9.79,29712,953.65,2076216,139,2021-05-17T11:29:55.731Z
csl5mvokavci,9.97,6486,713.32,890756,82,2021-04-22T02:18:08.210Z
csv062cm2g2t,54.4,258102,3149.6,21113877,284,2021-06-04T02:40:37.234Z
csfw7avopdrw,30.02,172631,1446.83,6951711,60,2021-06-12T16:18:51.848Z
csykndbkhuo6,9.7,8349,1416.53,5383031,169,2021-05-30T06:45:31.514Z
csk219z4ynwj,6.96,4863,455.7,207778,58,2021-05-27T13:00:13.510Z
csfveqtyhhyj,37.66,530857,1207.8,8716200,49,2021-06-15T03:05:58.304Z
cs2ho60bkal0,39.55,647879,1398.07,14743736,626,2021-07-03T20:16:57.604Z
cr94ljl3thvg,9.58,21581,943.71,2107216,123,2021-05-24T14:13:45.62Z
ct1s7ix2i1mo,9.87,5955,8493.24,27854748,436,2021-03-10T16:48:21.861Z
cs0uf9jsm6zq,9.67,11585,989.84,1580818,192,2021-05-14T12:40:29.84Z
cr6z3yjiasrn,14.8,13448,1080.83,1283366,173,2021-05-10T08:52:21.724Z
cockvnb4i52j,57.46,760472,5127.04,59526767,557,2021-05-07T17:51:47.727Z
cpldtq2ra649,9.86,8980,908.22,363856,153,2021-04-29T14:35:05.396Z
co73k5f30c02,14.06,68437,878.75,6239995,35,2021-06-15T03:05:04.743Z
co6ie08xuvs9,9.54,11137,1938.7,16633693,204,2021-05-10T23:08:03.292Z
coya9ghk73y3,34.14,221857,1396.94,9990754,129,2021-06-28T10:27:46.915Z
cp8nsegbhktg,64.91,544695,3358.62,23232769,303,2021-06-04T02:37:08.367Z
com4ztpiisx4,39.49,299787,1017.72,7632113,95,2021-07-01T06:03:37.458Z
cnq9btjk543i,53.2,298506,4128.8,22097993,342,2021-05-12T01:50:47.588Z
cnp7d0kvwxh6,6.79,10415,706.34,627768,104,2021-05-16T05:51:55.700Z
cm4onrpxrpp7,29.7,90975,2152.53,14348444,200,2021-06-17T02:43:41.244Z
clyuik091x58,46.87,446977,6665.62,122384822,435,2021-06-01T01:09:52.215Z
cmze7tgmpvq0,6.32,3600,94.16,55458,16,2021-06-28T17:39:29.342Z
cmx5z2e71jvc,6.49,43527,2510.85,7685829,422,2021-02-09T09:03:46.238Z
cmhg6ulreqir,24.13,116450,4252.38,25664463,122,2021-04-28T18:29:16.230Z
cmlhvvm1ury0,68.65,1460957,30628.92,283341469,1931,2021-02-22T03:19:14.164Z
cmz6htr8p63w,37.26,265741,1449.69,10355023,139,2021-06-28T10:24:02.739Z
cn6jo86e6ir0,6.99,11179,1683.13,11223829,65,2021-06-04T00:15:49.668Z
clblajlze7qz,48.73,300823,6300.17,88392459,573,2021-05-25T04:46:30.933Z
clyd3chaqj2z,5.39,11968,2445.9,7685273,487,2021-03-08T17:44:02.912Z
ckebjxen5yat,58.02,881527,2108.05,19910154,343,2021-05-18T16:45:33.534Z
cjo9pp0213mr,17.97,71810,883.02,3963307,141,2021-06-12T04:39:49.136Z
ckibob33143h,9.75,11678,301.29,218574,56,2021-06-24T16:31:30.218Z
cl9ej275269i,17.9,18538,3255.04,3293591,444,2019-04-17T05:23:45.889Z
cje20d1ypani,23.75,181389,925.8,6975588,40,2021-06-20T23:39:32.248Z
ckz9irzvijpm,56.68,302017,3369.05,14369981,250,2021-04-22T07:02:34.367Z
ckqd683krw70,9.85,15378,4097.43,22548388,168,2021-04-29T01:59:06.44Z
cjdsh12ijppx,34.28,223531,1634.5,11866235,170,2021-06-27T07:25:06.83Z
cjkx9mh6fy1t,9.94,12940,1444.59,4990866,131,2021-04-21T00:20:28.533Z
cklmokf1ahvd,72.58,438580,1874.48,12311296,186,2021-06-11T09:14:03.695Z
ci06dkseum7d,35.54,239682,1383.02,9735817,131,2021-06-27T14:55:38.838Z
chvdp4cqeja2,45.59,417794,1651.36,11614318,179,2021-06-22T09:52:21.578Z
cjdiakwry25g,9.72,9880,127.38,104432,20,2021-04-30T03:28:13.351Z
ch9o1xbue89d,12.48,14395,1127.39,2915077,185,2021-05-30T06:44:58.278Z
ciko1ihi5iq9,3.2,6510,14583.0,90731046,2893,2021-02-24T20:28:47.391Z
ch2zz7iqbnzl,9.71,27780,2026.97,9385117,245,2021-06-04T22:45:43.419Z
chaa5m8xxjz6,25.44,127834,3920.75,22861561,165,2021-04-30T04:54:54.147Z
ch37m0gn98jn,45.58,417718,6545.76,56678975,388,2021-05-08T19:43:02.0Z
chaof7z0a6e3,74.09,776514,7942.93,82481278,905,2021-04-30T01:09:54.763Z
ch15225zut2s,42.56,174344,3932.39,27007092,323,2021-05-24T20:24:59.258Z
cejwo0duz87f,19.57,82613,974.66,3209625,233,2021-06-10T17:40:03.20Z
cevavmwt6x27,56.56,388470,3230.02,23338163,592,2021-06-10T00:34:43.634Z
cgnwogz9szp0,30.97,332683,1491.61,8531562,67,2021-05-23T14:04:56.887Z
cgjv8t5od0ot,43.3,370014,8225.67,31958884,794,2021-02-27T03:24:10.806Z
cg20cz52u93i,65.6,1266980,8376.99,125955748,784,2021-05-17T22:12:22.196Z
ce7m0w0llf7s,37.91,275654,1583.8,11352858,151,2021-06-27T14:58:11.125Z
cgdtspvspk1y,58.34,451180,7432.7,76043242,510,2021-05-01T09:21:29.274Z
cfvokplbmq3b,10.85,35370,1179.3,2027646,156,2021-03-18T07:54:55.377Z
ce72u91l1605,9.96,3730,1066.3,1612122,163,2021-04-26T02:13:14.250Z
ceitdbzo84lp,29.99,172256,2423.73,11175024,179,2021-05-09T12:50:40.451Z
cd6e27ayk8qw,9.67,4040,791.14,357738,151,2021-05-19T19:49:28.701Z
cdv386aqwfhe,9.62,6510,58.5,30888,10,2021-05-23T07:08:55.996Z
ccjhul64m5kz,9.8,22158,1004.92,2233596,180,2021-05-23T20:08:26.328Z
ccrkoaf3qfgd,37.1,154530,2769.2,8595390,283,2021-04-19T20:43:23.798Z
cchlagdd1hbw,60.52,401951,3121.86,21524668,297,2021-06-04T02:40:01.355Z
cc5bj5c3xh7x,5.18,8899,720.55,1513141,146,2019-04-13T17:20:05.203Z
ccxaycqiw8md,12.84,44043,4061.7,28612800,318,2021-05-21T08:01:41.5Z
caev80252m55,28.15,152758,1552.38,11188060,148,2021-06-23T14:54:17.29Z
cct2wp5l9dbt,32.98,206916,3226.21,20325333,93,2021-04-03T14:50:31.268Z
cc4m28a1mtdd,9.55,8206,1654.28,1342492,203,2021-03-12T19:26:55.318Z
c927f2f48gb4,9.91,19902,592.74,2638857,71,2021-07-01T10:12:48.216Z
c9flvr2afsqg,39.13,294356,1002.09,8529851,88,2021-07-05T04:00:36.102Z
c8uzrg66718k,25.97,355657,2213.96,18926690,98,2021-05-12T22:19:24.997Z
c9h34oy11bus,9.82,5440,107.0,34434,18,2021-05-21T23:25:40.319Z
c8vnkq7mlumh,47.83,470200,2100.14,12469598,77,2021-05-29T13:49:33.600Z
c8ufw1wenlcv,5.47,22098,1654.12,6994306,705,2021-04-07T01:28:21.794Z
c9s3cclortf8,34.25,382619,1732.84,10892409,65,2021-06-04T00:14:57.192Z
c8nx8pzof8rq,40.94,326245,5013.51,21123425,153,2021-03-08T20:34:45.267Z
c9ox5e58ux96,70.93,1625023,18945.72,159390502,1965,2021-03-09T15:19:02.780Z
c9ouihn7m0f0,34.02,220320,2768.11,16618356,128,2021-05-31T09:27:43.493Z
c6zsfa7j1pqx,34.5,226359,1596.04,11412198,160,2021-06-22T09:57:43.538Z
c7674xhu36t9,43.14,365756,1492.64,10652117,140,2021-06-27T02:11:07.550Z
c6yfl7bum8sd,13.96,18686,2371.82,1541708,1516,2019-06-11T21:26:59.966Z
c7u9bqjm8mem,9.9,9531,10684.52,4819267,313,2019-04-19T07:25:35.594Z
c7urnpkr6k9c,22.54,66140,4376.94,24450023,349,2021-05-03T02:14:21.98Z
c6rmz3uhsz17,13.42,46586,9089.6,14411806,656,2021-02-13T20:12:44.841Z
c6nzpqe7ru52,39.09,293734,7773.31,54449268,450,2021-04-18T22:03:32.43Z
c7vjttpuej1p,9.55,15778,2503.34,7494122,374,2021-04-20T17:23:48.732Z
c6dgqkivcogp,79.2,910237,3890.42,47631158,239,2021-04-20T14:40:09.123Z
c757s4u3gc99,9.83,18532,71207.35,26654127,4699,2019-06-05T18:42:54.954Z
c6a6iegznohh,20.43,163802,1511.94,10253793,56,2021-06-11T23:06:05.341Z
c5qdt7l8ifuj,36.95,261112,1079.67,7953376,105,2021-07-01T06:01:52.496Z
c6bmhjmx9uqs,24.92,204455,1370.83,13819761,61,2021-06-12T00:41:06.466Z
c67rguo54ory,50.59,541358,1095.2,7972216,96,2021-07-01T06:00:28.460Z
c5un9p4wo5w7,33.58,376395,725.86,5256099,31,2021-06-18T02:31:22.459Z
c5rd8hlwuioa,45.28,227270,1866.99,12011487,176,2021-06-17T02:43:45.257Z
c4xhj1siyqq0,48.62,245804,3521.53,24335067,309,2021-06-02T01:45:12.746Z
c4svnf09q3cz,9.76,9926,691.09,722457,154,2021-05-03T13:34:57.481Z
c5mm4izkswg4,26.88,140260,3563.21,15683186,155,2019-04-19T05:24:25.531Z
c5w19rufvq9e,22.16,214662,1361.75,10933480,75,2021-05-21T14:09:36.723Z
c4latxmggm0q,9.65,7846,606.64,657255,68,2021-05-25T21:06:42.80Z
c3dj0osrphml,29.6,387425,1176.86,9498735,43,2021-06-12T01:27:33.936Z
c3je937rz2yo,42.72,358222,1630.32,11730249,170,2021-06-27T07:28:03.633Z
