username,payout,points,total_payout,total_points,total_wus,created_at
ivq3cmeu48u4,16.0,120141,2629.15,14516417,185,2021-05-12T11:38:55.699Z
iw17dw055vva,8.22,54338,1928.64,8753418,351,2021-04-19T17:19:10.606Z
ivlzo8qotvtg,31.69,983926,9294.32,149157487,775,2019-05-02T16:21:14.26Z
itv8n3h4qums,35.07,971390,7167.15,214332289,7990,2021-06-23T02:00:33.455Z
iuyvqnti6lq9,10.78,103551,4330.51,21145525,875,2021-05-13T13:44:57.744Z
itynhwtu9w8c,4.27,6807,2219.46,1617122,251,2021-03-06T01:16:32.42Z
isywqum1wjte,34.86,174201,6056.72,36836006,469,2021-06-17T02:48:51.228Z
iv5fzwsbr419,7.9,52047,5987.94,48989643,357,2021-05-06T00:11:13.583Z
isgmtry1i512,30.27,290160,5061.64,30692772,151,2021-03-10T23:58:06.293Z
isdywjdsgbmo,1.85,5610,5516.27,2130827,700,2020-12-10T18:01:01.139Z
irlz99wt1xru,24.45,211604,2833.74,17892164,362,2021-05-18T07:29:10.276Z
ir8qits3g6lf,34.42,354870,1403.68,12154747,50,2021-07-15T02:23:03.472Z
is6ic8wvledc,2.62,6510,326.65,130997,62,2021-05-07T09:18:26.565Z
ir1u4wfvmzh8,21.66,178921,4048.47,31854395,392,2021-06-27T15:00:41.743Z
iro2kf7jbzej,39.75,450431,4222.98,34186524,406,2021-06-23T14:57:23.372Z
is3216muriw9,11.22,77997,605.0,3320313,126,2021-07-17T11:54:01.869Z
ir7b7lzragnv,2.95,17874,5719.2,35340039,608,2021-05-04T23:50:15.269Z
ipqral9ddqfm,2.66,11678,709.1,985516,196,2021-07-05T01:40:23.898Z
is1xykhm1jcj,38.87,433831,4334.93,35739190,426,2021-06-27T14:59:00.230Z
ipyay5cljc57,2.67,13756,1256.48,2464633,145,2021-05-09T07:15:23.595Z
ipj1yfs7jjny,2.6,10838,156.31,260796,54,2021-07-12T00:52:29.524Z
ipmi4y7vnvcm,15.78,118154,1664.18,8412226,171,2021-06-28T14:05:22.955Z
ip4rfmk77ba6,3.14,19029,931.67,1909911,124,2021-04-05T14:46:50.822Z
ip98tc38amth,17.43,231550,2965.52,41196308,1168,2021-07-08T17:58:15.983Z
ioo9a9hco1rz,14.79,109107,3213.79,16252147,549,2021-06-11T01:15:50.567Z
incnyxp8qz5k,8.76,31037,2253.52,4470106,387,2021-04-07T08:19:04.512Z
io9yei6e2ij3,2.65,6919,1154.31,1043288,147,2021-05-06T01:57:52.185Z
invzoi53sd4a,45.95,583038,7193.05,70237998,424,2021-05-12T05:24:47.66Z
ioraabma42pv,26.47,167655,7597.59,46382639,378,2021-04-28T14:08:48.260Z
inucl4mfexnf,6.26,29685,4402.32,23986758,528,2021-05-15T18:37:46.654Z
imhopankx886,33.82,344640,7663.53,56890964,1029,2021-05-13T06:56:51.629Z
im0us9jdld16,7.98,52603,5798.51,37350499,1131,2021-05-17T14:02:09.686Z
imc93ckhn4ux,12.69,90000,7035.9,16748106,1249,2021-03-02T11:44:50.741Z
ilgk4ys8xzfx,2.6,10268,925.8,1249847,150,2021-06-11T22:58:08.411Z
ildxkxwdchh9,2.65,13648,381.53,537330,60,2021-06-27T19:50:12.130Z
ilxdncto0jwh,11.53,45645,9889.53,29339884,349,2021-02-23T08:00:24.695Z
im08tujmtph6,6.88,44544,369.57,3632181,73,2021-08-05T23:56:30.192Z
ili7s06ssmqe,7.61,26242,1395.55,2300034,161,2021-05-08T12:03:26.530Z
